,City,Latitude,Longitude,MaxTemp (°C),Humidity (%),Cloudiness (%),WindSpeed (meter/sec),Country,Date
364,Ayagoz,47.97,80.44,21.55,47,28,6.65,KZ,06/18/20
365,Morondava,-20.28,44.28,23.4,44,0,3.46,MG,06/18/20
366,Salmās,38.2,44.77,25.0,44,0,2.1,IR,06/18/20
367,Thompson,55.74,-97.86,4.0,93,90,6.7,CA,06/18/20
368,Sobolevo,54.43,31.9,22.86,79,0,4.07,RU,06/18/20
369,Ossora,59.24,163.07,16.33,60,9,2.62,RU,06/18/20
370,Zykovo,55.95,93.15,23.0,43,10,3.0,RU,06/18/20
371,Bushehr,28.97,50.84,33.0,43,0,4.1,IR,06/18/20
372,Iroquois Falls,48.77,-80.68,20.0,56,5,2.6,CA,06/18/20
373,Örnsköldsvik,63.29,18.72,15.0,93,52,2.1,SE,06/18/20
374,Morant Bay,17.88,-76.41,28.0,74,20,2.1,JM,06/18/20
375,Cayenne,4.93,-52.33,23.0,100,90,2.03,GF,06/18/20
376,Puerto Escondido,15.85,-97.07,27.28,77,97,1.57,MX,06/18/20
377,Zabid,14.2,43.32,33.54,49,0,2.65,YE,06/18/20
378,Hong Kong,22.29,114.16,31.67,59,0,5.81,HK,06/18/20
379,Opuwo,-18.06,13.84,15.33,44,0,7.1,NA,06/18/20
380,Caravelas,-17.71,-39.25,20.73,85,8,2.41,BR,06/18/20
381,Koforidua,6.09,-0.26,26.0,88,40,2.1,GH,06/18/20
382,Tepetzintla,21.17,-97.83,22.48,94,1,1.29,MX,06/18/20
383,Kamyshlov,56.84,62.71,14.88,45,27,5.38,RU,06/18/20
384,Udachny,66.42,112.4,22.0,30,40,1.0,RU,06/18/20
385,Mumbwa,-14.98,27.06,14.85,60,89,5.26,ZM,06/18/20
386,Robertsport,6.75,-11.37,25.38,88,100,4.27,LR,06/18/20
387,Pacific Grove,36.62,-121.92,22.0,28,1,1.5,US,06/18/20
388,Vågåmo,61.88,9.1,20.78,54,19,0.5,NO,06/18/20
389,La Palma,33.85,-118.05,17.78,77,1,2.1,US,06/18/20
390,Roberval,48.52,-72.23,24.0,53,5,5.7,CA,06/18/20
391,Santa Barbara,34.42,-119.7,15.56,87,1,0.4,US,06/18/20
392,Waddān,29.16,16.14,28.07,21,0,3.41,LY,06/18/20
393,Magnor,59.95,12.2,17.0,100,0,1.0,SE,06/18/20
394,Muros,42.78,-9.06,10.0,93,1,1.07,ES,06/18/20
395,Mareeba,-17.0,145.43,23.89,75,37,3.13,AU,06/18/20
396,Rubizhne,49.01,38.38,25.07,47,100,3.77,UA,06/18/20
397,Banda Aceh,5.56,95.32,30.28,66,100,2.0,ID,06/18/20
398,Rioblanco,3.53,-75.68,17.09,75,97,1.04,CO,06/18/20
399,Acarí,-15.43,-74.62,17.07,69,86,1.42,PE,06/18/20
400,KwaDukuza,-29.33,31.29,13.0,87,40,2.1,ZA,06/18/20
401,Yorosso,12.35,-4.78,26.48,70,73,6.15,ML,06/18/20
402,Tupiza,-21.45,-65.72,6.08,44,0,1.69,BO,06/18/20
403,Winchester,51.07,-1.32,15.0,100,100,1.0,GB,06/18/20
404,Kampot,10.62,104.18,32.0,62,20,4.1,KH,06/18/20
405,Acaraú,-2.89,-40.12,23.93,89,7,5.52,BR,06/18/20
406,Bac Lieu,9.29,105.72,33.77,53,17,4.3,VN,06/18/20
407,Togul,53.47,85.91,20.83,68,100,5.65,RU,06/18/20
408,Turaif,31.67,38.66,30.0,25,0,4.1,SA,06/18/20
409,Baruun-Urt,46.68,113.28,26.07,27,0,1.45,MN,06/18/20
410,Vilhena,-12.74,-60.15,18.56,87,0,1.22,BR,06/18/20
411,Hornepayne,49.21,-84.77,17.79,73,0,4.26,CA,06/18/20
412,Zhangaözen,43.3,52.8,32.08,12,42,6.67,KZ,06/18/20
413,Korla,41.76,86.15,33.55,12,62,3.77,CN,06/18/20
414,Shenkursk,62.11,42.9,19.75,35,0,1.19,RU,06/18/20
415,Chara,56.91,118.26,11.23,85,100,1.67,RU,06/18/20
416,Kajaani,64.23,27.73,17.0,72,49,4.6,FI,06/18/20
417,Srednekolymsk,67.45,153.68,31.24,19,31,2.78,RU,06/18/20
418,Palmas Bellas,9.23,-80.09,25.56,94,94,1.0,PA,06/18/20
419,Scituate,42.2,-70.73,17.78,100,1,2.6,US,06/18/20
420,Itaueira,-7.6,-43.03,20.76,67,0,4.77,BR,06/18/20
421,Kalmunai,7.42,81.82,33.33,51,80,2.47,LK,06/18/20
422,Pāli,25.77,73.33,39.27,33,14,7.55,IN,06/18/20
423,Puerto Lempira,15.27,-83.77,25.8,90,90,3.21,HN,06/18/20
424,Asău,46.43,26.4,17.22,87,93,1.49,RO,06/18/20
425,Morón,-34.65,-58.62,16.67,99,100,0.45,AR,06/18/20
426,Qeshm,26.96,56.27,36.0,63,40,5.1,IR,06/18/20
427,Ust-Nera,64.57,143.2,25.77,23,97,1.99,RU,06/18/20
428,Stornoway,58.21,-6.39,13.33,93,90,1.5,GB,06/18/20
429,Krk,45.03,14.57,21.67,93,20,2.6,HR,06/18/20
430,Barcelos,41.54,-8.62,15.0,100,0,1.2,PT,06/18/20
431,Middelburg,-25.78,29.46,8.29,67,4,1.38,ZA,06/18/20
432,Eyl,7.98,49.82,32.77,36,86,14.45,SO,06/18/20
433,Piaçabuçu,-10.41,-36.43,23.4,87,4,4.93,BR,06/18/20
434,Kailua,21.4,-157.74,34.0,46,75,4.6,US,06/18/20
435,Tual,-5.67,132.75,27.27,84,0,7.58,ID,06/18/20
436,Ilo,-17.64,-71.34,16.82,78,32,2.96,PE,06/18/20
437,Broome,42.25,-75.83,17.0,67,1,2.6,US,06/18/20
438,Sumbe,-11.21,13.84,22.83,61,18,2.81,AO,06/18/20
439,Olinda,-8.01,-34.86,24.0,94,40,3.1,BR,06/18/20
440,Lodja,-3.48,23.43,23.25,40,96,1.63,CD,06/18/20
441,Departamento de Maldonado,-34.67,-54.92,22.78,73,75,6.7,UY,06/18/20
442,Goroka,-6.08,145.39,20.37,81,65,1.39,PG,06/18/20
443,Pucallpa,-8.38,-74.55,24.66,73,98,0.75,PE,06/18/20
444,Muborak,39.26,65.15,30.95,13,0,5.34,UZ,06/18/20
445,Neiafu,-18.65,-173.98,23.0,69,20,3.6,TO,06/18/20
446,Shima,24.45,117.81,35.0,59,20,6.0,CN,06/18/20
447,Igrim,63.19,64.42,10.25,47,100,4.98,RU,06/18/20
448,Lavrentiya,65.58,-171.0,10.04,66,1,1.34,RU,06/18/20
449,Villamontes,-21.25,-63.5,18.02,74,63,2.0,BO,06/18/20
450,Nikolayevsk-on-Amur,53.14,140.73,8.84,87,100,1.84,RU,06/18/20
451,Shihezi,44.3,86.03,30.43,21,100,3.84,CN,06/18/20
452,Faanui,-16.48,-151.75,27.37,77,100,1.21,PF,06/18/20
453,Civitavecchia,42.09,11.8,16.11,91,1,3.87,IT,06/18/20
454,Graciano Sánchez,23.92,-99.28,23.55,82,11,1.07,MX,06/18/20
455,Nizhnyaya Omka,55.43,74.94,12.91,81,100,6.57,RU,06/18/20
456,Verkhoyansk,67.54,133.38,28.07,24,53,4.41,RU,06/18/20
457,Verkhnevilyuysk,63.45,120.32,20.59,61,39,3.15,RU,06/18/20
458,Ono,34.85,134.93,20.0,88,75,6.2,JP,06/18/20
459,Egvekinot,66.32,-179.17,16.38,32,99,1.13,RU,06/18/20
460,Padang,-0.95,100.35,29.02,72,83,1.91,ID,06/18/20
461,Kieta,-6.22,155.63,27.98,79,15,3.04,PG,06/18/20
462,Firminy,45.39,4.29,14.0,76,3,2.6,FR,06/18/20
463,Sayyan,15.17,44.32,24.68,18,0,1.38,YE,06/18/20
464,Sydney,-33.87,151.21,16.11,55,20,3.6,AU,06/18/20
465,Buala,-8.14,159.59,27.95,76,29,1.31,SB,06/18/20
466,Mustang,35.38,-97.72,25.0,57,40,5.7,US,06/18/20
467,Nanortalik,60.14,-45.24,2.94,86,3,3.05,GL,06/18/20
468,Makakilo City,21.35,-158.09,26.0,61,1,3.6,US,06/18/20
469,Brookings,44.31,-96.8,26.0,65,1,10.3,US,06/18/20
470,Rusape,-18.53,32.13,9.78,90,100,3.51,ZW,06/18/20
471,Sibolga,1.74,98.78,26.33,76,100,2.79,ID,06/18/20
472,Jilib,0.49,42.79,28.52,66,98,4.37,SO,06/18/20
473,Taquari,-29.8,-51.86,21.67,72,13,1.34,BR,06/18/20
474,Sobral,-3.69,-40.35,22.13,91,28,1.34,BR,06/18/20
475,Proletariy,58.43,31.7,25.69,62,100,2.31,RU,06/18/20
476,Tuatapere,-46.13,167.68,3.89,83,0,1.34,NZ,06/18/20
477,Zhigansk,66.77,123.37,22.63,41,0,1.93,RU,06/18/20
478,Harper,4.38,-7.72,24.92,86,100,4.29,LR,06/18/20
479,Waitati,-45.75,170.57,6.11,71,99,1.79,NZ,06/18/20
480,Coyhaique,-45.58,-72.07,2.0,100,90,1.0,CL,06/18/20
481,Sept-Îles,50.2,-66.38,18.0,82,75,2.1,CA,06/18/20
482,Taoudenni,22.68,-3.98,35.19,19,0,8.22,ML,06/18/20
483,Meadow Lake,34.8,-106.54,23.0,15,1,3.1,US,06/18/20
484,Kilindoni,-7.91,39.67,25.25,73,55,9.29,TZ,06/18/20
485,Bud,39.45,-86.18,20.56,64,1,1.51,US,06/18/20
486,Tommot,58.96,126.29,24.37,44,100,1.94,RU,06/18/20
487,Coquimbo,-29.95,-71.34,10.0,87,100,2.1,CL,06/18/20
488,Dalvik,65.97,-18.53,9.0,76,100,3.1,IS,06/18/20
489,Palmer,42.16,-72.33,17.0,93,20,0.94,US,06/18/20
490,Carauari,-4.88,-66.9,22.22,86,56,0.89,BR,06/18/20
491,Cockburn Town,21.46,-71.14,27.67,79,20,7.77,TC,06/18/20
492,Fandriana,-20.23,47.38,11.98,77,87,4.22,MG,06/18/20
493,Candeias,-20.77,-45.28,11.47,96,0,2.52,BR,06/18/20
494,Berdigestyakh,62.1,126.7,26.1,25,0,4.42,RU,06/18/20
495,Moerai,-22.43,-151.33,22.67,81,100,12.72,PF,06/18/20
496,Chojnice,53.7,17.56,17.78,85,10,3.37,PL,06/18/20
497,Petropavlovsk-Kamchatskiy,53.05,158.65,12.0,71,17,8.0,RU,06/18/20
498,Arrondissement de Toul,48.67,5.92,14.0,87,83,5.1,FR,06/18/20
499,Paramonga,-10.67,-77.83,17.2,81,98,2.43,PE,06/18/20
500,Yūbari,43.04,141.96,19.44,77,75,5.7,JP,06/18/20
501,Jalu,29.03,21.55,25.68,39,0,0.8,LY,06/18/20
502,College,64.86,-147.8,22.0,35,75,2.6,US,06/18/20
503,Vestmanna,62.16,-7.17,9.0,100,63,1.0,FO,06/18/20
504,Derzhavīnsk,51.1,66.32,22.22,54,69,5.99,KZ,06/18/20
505,Loikaw,19.67,97.21,22.81,87,98,2.66,MM,06/18/20
506,Tabou,4.42,-7.35,24.9,86,99,4.47,CI,06/18/20
507,Toppenish,46.38,-120.31,18.33,55,0,4.1,US,06/18/20
508,Farah,32.5,62.5,38.12,8,0,7.86,AF,06/18/20
509,Kāzerūn,29.62,51.65,37.58,9,0,2.45,IR,06/18/20
510,Al Bardīyah,31.76,25.09,24.41,55,0,8.32,LY,06/18/20
511,Leeton,-34.57,146.4,17.78,59,0,4.6,AU,06/18/20
512,Aguçadoura,41.43,-8.78,15.0,100,0,2.29,PT,06/18/20
513,Saint-Pierre,-21.34,55.48,23.0,64,31,8.2,RE,06/18/20
514,Nha Trang,12.25,109.18,35.0,59,20,5.1,VN,06/18/20
515,Priargunsk,50.37,119.1,23.58,50,10,0.68,RU,06/18/20
516,Road Town,18.42,-64.62,27.22,84,51,4.92,VG,06/18/20
517,Mashhad,36.3,59.61,28.0,14,0,3.1,IR,06/18/20
518,Marks,51.71,46.75,26.56,57,0,2.04,RU,06/18/20
519,Ndélé,8.41,20.65,24.17,84,100,1.7,CF,06/18/20
520,Camocim,-2.9,-40.84,23.77,89,3,5.06,BR,06/18/20
521,Dudinka,69.41,86.18,9.0,36,76,2.0,RU,06/18/20
522,Sittwe,20.15,92.9,27.39,85,100,3.38,MM,06/18/20
523,Batagay,67.63,134.63,28.56,22,25,3.59,RU,06/18/20
524,Ocampo,21.65,-101.5,14.56,74,0,2.36,MX,06/18/20
525,Wasilla,61.58,-149.44,15.0,47,1,3.6,US,06/18/20
526,Singapore,1.29,103.85,29.0,79,75,2.1,SG,06/18/20
527,Los Llanos de Aridane,28.66,-17.92,20.0,72,20,2.6,ES,06/18/20
528,Delray Beach,26.46,-80.07,27.0,83,1,4.1,US,06/18/20
529,Chikmagalūr,13.32,75.78,21.39,83,100,4.15,IN,06/18/20
530,Nuevo Progreso,23.17,-97.95,25.56,72,6,0.45,MX,06/18/20
531,Kayerkan,69.35,87.76,9.0,36,100,2.0,RU,06/18/20
532,Yar-Sale,66.83,70.83,7.94,53,100,7.21,RU,06/18/20
533,Keti Bandar,24.14,67.45,33.23,62,1,6.8,PK,06/18/20
534,Thatcham,51.4,-1.26,13.89,97,100,0.88,GB,06/18/20
535,Port Hueneme,34.15,-119.2,17.22,82,1,3.6,US,06/18/20
536,Río Gallegos,-51.62,-69.22,-5.0,92,90,1.0,AR,06/18/20
537,Clarence Town,-32.58,151.78,17.22,67,40,5.1,AU,06/18/20
538,Poshekhon'ye,58.5,39.14,21.39,70,6,3.52,RU,06/18/20
539,Poum,-20.23,164.02,23.69,81,100,5.35,NC,06/18/20
540,Sirte,31.21,16.59,28.51,30,0,5.74,LY,06/18/20
541,Sinnamary,5.38,-52.95,24.8,88,100,2.45,GF,06/18/20
542,Carutapera,-1.2,-46.02,22.82,94,15,1.78,BR,06/18/20
543,Jardim,-21.48,-56.14,19.98,70,0,3.41,BR,06/18/20
544,Vuktyl,63.86,57.31,7.85,55,88,5.03,RU,06/18/20
545,Maniitsoq,65.42,-52.9,2.72,80,15,2.2,GL,06/18/20
546,Kodīnar,20.79,70.7,31.4,71,67,6.16,IN,06/18/20
547,Newport,51.59,-3.0,15.0,98,100,1.15,GB,06/18/20
548,Vao,-22.67,167.48,22.29,81,100,6.36,NC,06/18/20
549,Rājula,21.05,71.43,32.78,60,48,5.4,IN,06/18/20
550,Taltal,-25.4,-70.48,14.95,60,0,2.52,CL,06/18/20
551,Vestmannaeyjar,63.44,-20.27,9.11,79,100,9.71,IS,06/18/20
552,Atasū,48.68,71.64,21.31,44,98,5.09,KZ,06/18/20
553,Ust'-Barguzin,53.45,108.98,15.57,44,0,1.88,RU,06/18/20
554,Souris,49.62,-100.26,15.56,87,40,5.1,CA,06/18/20
555,Misasi,-3.0,33.08,18.0,68,40,3.6,TZ,06/18/20
556,Holme,56.11,10.17,19.44,88,45,1.0,DK,06/18/20
557,Ashcroft,50.72,-121.29,19.0,52,75,7.7,CA,06/18/20
558,Patna,25.6,85.12,29.0,94,75,1.5,IN,06/18/20
559,Evensk,61.95,159.23,11.1,77,90,3.97,RU,06/18/20
560,Baharly,38.44,57.43,33.08,11,0,6.17,TM,06/18/20
